Token: 4 ||| Lexema: gift ||| Linea: 1 ||| Columna: 1
Token: 33 ||| Lexema: ] ||| Linea: 9 ||| Columna: 21
Token: 32 ||| Lexema: [ ||| Linea: 9 ||| Columna: 22
Token: 56 ||| Lexema: 3 ||| Linea: 9 ||| Columna: 23
Token: 33 ||| Lexema: ] ||| Linea: 9 ||| Columna: 24
Token: 43 ||| Lexema: = ||| Linea: 9 ||| Columna: 26
Token: 25 ||| Lexema: ¡ ||| Linea: 9 ||| Columna: 28
Token: 25 ||| Lexema: ¡ ||| Linea: 9 ||| Columna: 29
Token: 56 ||| Lexema: 1 ||| Linea: 9 ||| Columna: 30
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 31
Token: 56 ||| Lexema: 5 ||| Linea: 9 ||| Columna: 32
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 33
Token: 56 ||| Lexema: 10 ||| Linea: 9 ||| Columna: 34
Token: 26 ||| Lexema: ! ||| Linea: 9 ||| Columna: 36
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 37
Token: 25 ||| Lexema: ¡ ||| Linea: 9 ||| Columna: 38
Token: 56 ||| Lexema: 2 ||| Linea: 9 ||| Columna: 39
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 40
Token: 56 ||| Lexema: 4 ||| Linea: 9 ||| Columna: 41
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 42
Token: 56 ||| Lexema: 5 ||| Linea: 9 ||| Columna: 43
Token: 26 ||| Lexema: ! ||| Linea: 9 ||| Columna: 44
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 45
Token: 25 ||| Lexema: ¡ ||| Linea: 9 ||| Columna: 46
Token: 56 ||| Lexema: 20 ||| Linea: 9 ||| Columna: 47
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 49
Token: 56 ||| Lexema: 40 ||| Linea: 9 ||| Columna: 50
Token: 29 ||| Lexema: , ||| Linea: 9 ||| Columna: 52
Token: 56 ||| Lexema: 50 ||| Linea: 9 ||| Columna: 53
Token: 26 ||| Lexema: ! ||| Linea: 9 ||| Columna: 55
Token: 26 ||| Lexema: ! ||| Linea: 9 ||| Columna: 56
Token: 19 ||| Lexema: endl ||| Linea: 9 ||| Columna: 58
Token: 14 ||| Lexema: show ||| Linea: 10 ||| Columna: 4
Token: 27 ||| Lexema: ¿ ||| Linea: 10 ||| Columna: 9
Token: 53 ||| Lexema: _arr_ ||| Linea: 10 ||| Columna: 10
Token: 32 ||| Lexema: [ ||| Linea: 10 ||| Columna: 15
Token: 56 ||| Lexema: 0 ||| Linea: 10 ||| Columna: 16
Token: 33 ||| Lexema: ] ||| Linea: 10 ||| Columna: 17
Token: 32 ||| Lexema: [ ||| Linea: 10 ||| Columna: 18
Token: 56 ||| Lexema: 0 ||| Linea: 10 ||| Columna: 19
Token: 33 ||| Lexema: ] ||| Linea: 10 ||| Columna: 20
Token: 28 ||| Lexema: ? ||| Linea: 10 ||| Columna: 21
Token: 19 ||| Lexema: endl ||| Linea: 10 ||| Columna: 23
Token: 7 ||| Lexema: decide ||| Linea: 11 ||| Columna: 4
Token: 8 ||| Lexema: of ||| Linea: 11 ||| Columna: 13
Token: 58 ||| Lexema: true ||| Linea: 12 ||| Columna: 6
Token: 30 ||| Lexema: -> ||| Linea: 12 ||| Columna: 11
Token: 25 ||| Lexema: ¡ ||| Linea: 13 ||| Columna: 7
Token: 14 ||| Lexema: show ||| Linea: 14 ||| Columna: 7
Token: 27 ||| Lexema: ¿ ||| Linea: 14 ||| Columna: 12
Token: 56 ||| Lexema: 25 ||| Linea: 14 ||| Columna: 14
Token: 28 ||| Lexema: ? ||| Linea: 14 ||| Columna: 17
Token: 19 ||| Lexema: endl ||| Linea: 14 ||| Columna: 20
Token: 26 ||| Lexema: ! ||| Linea: 15 ||| Columna: 7
Token: 9 ||| Lexema: end ||| Linea: 16 ||| Columna: 4
Token: 7 ||| Lexema: decide ||| Linea: 16 ||| Columna: 9
Token: 19 ||| Lexema: endl ||| Linea: 16 ||| Columna: 18
Token: 14 ||| Lexema: show ||| Linea: 17 ||| Columna: 4
Token: 27 ||| Lexema: ¿ ||| Linea: 17 ||| Columna: 9
Token: 53 ||| Lexema: _arr_ ||| Linea: 17 ||| Columna: 11
Token: 32 ||| Lexema: [ ||| Linea: 17 ||| Columna: 16
Token: 56 ||| Lexema: 2 ||| Linea: 17 ||| Columna: 17
Token: 33 ||| Lexema: ] ||| Linea: 17 ||| Columna: 18
Token: 32 ||| Lexema: [ ||| Linea: 17 ||| Columna: 19
Token: 56 ||| Lexema: 1 ||| Linea: 17 ||| Columna: 20
Token: 33 ||| Lexema: ] ||| Linea: 17 ||| Columna: 21
Token: 28 ||| Lexema: ? ||| Linea: 17 ||| Columna: 23
Token: 19 ||| Lexema: endl ||| Linea: 17 ||| Columna: 25
Token: 14 ||| Lexema: show ||| Linea: 18 ||| Columna: 4
Token: 27 ||| Lexema: ¿ ||| Linea: 18 ||| Columna: 9
Token: 53 ||| Lexema: _miOtraFun_ ||| Linea: 18 ||| Columna: 11
Token: 27 ||| Lexema: ¿ ||| Linea: 18 ||| Columna: 22
Token: 28 ||| Lexema: ? ||| Linea: 18 ||| Columna: 23
Token: 28 ||| Lexema: ? ||| Linea: 18 ||| Columna: 25
Token: 19 ||| Lexema: endl ||| Linea: 18 ||| Columna: 27
Token: 16 ||| Lexema: return ||| Linea: 19 ||| Columna: 4
Token: 56 ||| Lexema: 1 ||| Linea: 19 ||| Columna: 11
Token: 34 ||| Lexema: + ||| Linea: 19 ||| Columna: 13
Token: 56 ||| Lexema: 2 ||| Linea: 19 ||| Columna: 15
Token: 19 ||| Lexema: endl ||| Linea: 19 ||| Columna: 18
Token: 26 ||| Lexema: ! ||| Linea: 20 ||| Columna: 1
